Symbol,Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m,momentum_score,signal
COIN,2024-04-01,261.8699951171875,268.8099975585937,249.22000122070312,252.1100006103516,10010700,0.2385046356555542,0.3528117610252241,2.354310648303607,2.860796153570241,1.945024471689779,long
NVDA,2024-04-01,90.26307172974768,92.18830020895638,89.16850623304367,90.32704162597656,452441000,0.1422697400951591,0.8247897041034065,1.0974074594058818,2.3498363858305127,1.448341706984167,long
WSM,2024-04-01,155.15893118737856,156.79662003189443,154.02627807945416,154.4185333251953,2015800,0.3371120060888966,0.5558809111428971,1.0601762391830278,1.731058192069736,1.1553635314202721,long
CEG,2024-04-01,184.5124247324788,187.26974515868568,181.9038745998644,184.4628295898437,1977500,0.106236114233821,0.5912003365896521,0.7085368785402373,1.4768560430006223,0.9321671595036327,long
DASH,2024-04-01,137.91000366210938,139.60499572753906,137.11000061035156,138.25,2358400,0.109817775858469,0.3796028466526706,0.7769922182140117,1.309555606253911,0.8438222548821491,long
NRG,2024-04-01,66.00837294223409,68.53739589568686,65.32485725198322,68.49833679199219,3718100,0.2680767245813737,0.3629727034711634,0.8631621183220859,1.195669122653248,0.8366184977102952,long
UBER,2024-04-01,77.0,77.77999877929688,76.0,76.4000015258789,12201800,-0.0389936914983785,0.210009538555751,0.6558301373324105,1.4748947019392489,0.8248094605367351,long
META,2024-04-01,485.0558616372736,495.2408203123021,479.6597015030285,489.1875915527344,9247000,0.0024890713818768,0.3727151848528867,0.6182106937772018,1.3952825347077802,0.8183681661250376,long
MU,2024-04-01,118.65303304995597,126.79549841411288,118.45395381239544,123.7296371459961,44309400,0.3731373625824663,0.4486811076603583,0.914024915442953,0.9717015833620511,0.7899380657680247,long
BLDR,2024-04-01,208.6499938964844,209.22000122070312,204.94000244140625,205.4100036621093,755100,0.0524132153407825,0.2178939831735347,0.6273966223699983,1.375780775355096,0.7873514150218232,long
AVGO,2024-04-01,130.6593514590105,134.33565978032206,130.6327472887491,133.08197021484375,17252000,0.0426918997900787,0.2081238623183778,0.6373143506097507,1.201377618370937,0.7176393149739835,long
LLY,2024-04-01,769.4137294475313,770.9009982544532,747.4219886179028,754.0948486328125,2921300,0.0091153777608763,0.3116695164704361,0.4019487797120482,1.283373979743081,0.6971796668810216,long
RCL,2024-04-01,138.58397225183978,139.04885438619502,136.99150719625175,139.02906799316406,2214500,0.1395217387688327,0.081480323544067,0.4932541490189599,1.1911143851168182,0.6546702373381119,long
PHM,2024-04-01,119.37102101549712,119.955545683326,116.76544824618382,117.33015441894533,1246300,0.0946450597610781,0.1463681205753377,0.5898032674153504,1.0887202680198955,0.6511672175237386,long
AMD,2024-04-01,180.10000610351562,187.2400054931641,179.89999389648438,183.33999633789065,74299900,-0.0477328338423821,0.2324549819035228,0.7841571869065753,0.9080029485399744,0.6401660484844287,long
WDC,2024-04-01,51.99684229197932,54.58461087941374,51.97420990197457,53.45293426513672,16538426,0.191356919407643,0.33856025613482,0.5469431779291463,0.9357924153097404,0.6252476626703684,long
GE,2024-04-01,138.96650022696164,139.30678787496083,136.95638220453657,138.7765655517578,7399592,0.1177257920489462,0.3665835685009921,0.5619560763338485,0.8682355154842527,0.6009703219989486,long
LRCX,2024-04-01,96.19418091465224,98.45941841229416,96.0922454915158,97.16004943847656,6514000,0.046405489869598,0.2432914293569172,0.5688211299586476,0.9088061577206192,0.5874676369341851,long
ANET,2024-04-01,73.06999969482422,74.94750213623047,72.8324966430664,74.9375,6356800,0.0800244677209602,0.2649280434481089,0.625277947751945,0.8446153846153845,0.5864175936334551,long
NFLX,2024-04-01,608.0,615.1099853515625,605.5700073242188,614.3099975585938,2115900,0.0188914200412806,0.2523903392962821,0.6322404651619891,0.850164141243547,0.5821050059094001,long
URI,2024-04-01,712.9000608258244,714.1457252276525,701.3332546749028,702.0648803710938,339800,0.0243485386691288,0.2301902850886059,0.593658496001144,0.8734561366248237,0.5759529143349068,avoid
ETN,2024-04-01,307.9432828612643,309.05503178542574,306.0444704635701,306.98895263671875,1213200,0.0830694857542764,0.3001332003311785,0.4580678171482242,0.8918229838851863,0.5624831273402052,avoid
KLAC,2024-04-01,692.1402297472889,710.1160930436022,691.8930368080935,702.8980712890625,772200,0.0418878226597634,0.2152421143893024,0.5595649223761008,0.8662408362421059,0.5616030163535094,avoid
CMG,2024-04-01,58.383399963378906,58.39780044555664,57.26919937133789,57.540000915527344,11935000,0.0700060396265902,0.2627393279333172,0.5646668999250122,0.7365638711745266,0.5235740879966367,avoid
PCAR,2024-04-01,118.7956169695168,119.10201304649114,117.8381283158397,117.86685180664062,1351300,0.1101091646152327,0.2615432429481696,0.4930924495972799,0.7805496395518086,0.5234671557510646,avoid
AMAT,2024-04-01,204.62014046121024,209.4061255179932,203.6609819496491,206.36050415039065,3189700,0.0350660047693711,0.2815331121391058,0.5156474649014504,0.7562643993039899,0.5170132220967893,avoid
DVA,2024-04-01,138.13999938964844,138.25,136.02999877929688,137.83999633789062,455900,0.0856107349191321,0.3198007766729296,0.4313602489068102,0.7565948030280345,0.504567224709756,avoid
AMZN,2024-04-01,180.7899932861328,183.0,179.9499969482422,180.97000122070312,29174500,0.0238176445163011,0.1798800069081385,0.4364978282145999,0.8051870445955425,0.49138193213585485,avoid
RL,2024-04-01,183.24416113466629,183.24416113466629,180.81363112326903,181.6697235107422,818000,-0.0029033777686583,0.2723418443543797,0.614870022700047,0.6287210636756111,0.4901274633742687,avoid
