Symbol,Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m,momentum_score,signal
NVDA,2024-08-01,117.49288673851925,120.12206115379604,106.77627053548454,109.1755142211914,523462300,-0.1097252226705233,0.3152416659604791,0.7752221841784024,1.3489515869702924,0.8242231009666812,long
COIN,2024-08-01,226.6000061035156,227.1000061035156,207.82000732421875,212.63999938964844,8920000,-0.0653597445220841,0.0121376700281177,0.6586583810567248,1.2585235894149225,0.6968985096364015,long
HWM,2024-08-01,96.36043550814796,96.99851744232114,93.81807233447854,94.58576965332033,3140500,0.215191568273027,0.4215078877772562,0.6887432044428734,0.9429740219969392,0.6896333045143915,long
IRM,2024-08-01,101.95816063476228,107.27940884947915,101.77366254483948,106.36663818359376,5009300,0.2057238137079562,0.4129955527447715,0.6477756422060315,0.8372299350254142,0.632396158591725,long
WSM,2024-08-01,150.23420672195232,151.22258966091252,140.06375291592352,143.2562255859375,1776800,0.0410150463312037,0.0260390562893968,0.5107551780525303,1.1314220752353554,0.6151046994009011,long
GE,2024-08-01,169.90405756595032,173.83448514357534,167.3865930960268,168.9090118408203,6112900,0.0531887069568113,0.064729702810973,0.611809302598509,0.8876835854324159,0.5568810362103948,long
FICO,2024-08-01,1554.6800537109375,1668.6300048828125,1528.4300537109375,1578.949951171875,261700,0.032411791791969,0.3841574940662566,0.3170758231368782,0.9030601146521378,0.5364194707943668,long
TRGP,2024-08-01,133.4946103228037,137.43977779389218,132.45900085171908,134.2343292236328,2290400,0.0447727639270676,0.2175539516369617,0.6213430109380806,0.7078318407503357,0.5175237063016577,long
NRG,2024-08-01,74.04231635891662,75.62188426817872,72.15670175362872,72.56147003173828,2337700,-0.0512117261049088,0.0032732941079545,0.4010389379666663,0.9976857304741384,0.5149194597907554,long
ANET,2024-08-01,87.625,91.0374984741211,83.03500366210938,84.66000366210938,17044400,-0.0514551262281057,0.3269072753409281,0.3091078716430722,0.8244707372171163,0.48275659882514327,long
CEG,2024-08-01,187.0414765920763,192.97977088610725,175.44698328115427,176.39068603515625,4482100,-0.138636888782021,-0.0364029836986212,0.460581560858081,0.859620897582215,0.46087854167238396,long
MMM,2024-08-01,124.91447682273576,125.34555662484549,121.90673246410888,123.90536499023438,5563700,0.2445383846474285,0.2936646728623557,0.6411069475092104,0.4438054211366293,0.45304102574462884,long
MHK,2024-08-01,161.85000610351562,163.99000549316406,154.64999389648438,156.47999572753906,1112400,0.4182905205345018,0.3622355008796682,0.5010071532617655,0.4502316359097422,0.44467095257181033,long
LLY,2024-08-01,827.9534658199005,835.1740674162318,814.6048217528567,826.781494140625,4060700,-0.0819115126202374,0.0735229120789027,0.2938471144346988,0.8509741740638743,0.43505723510971617,long
GRMN,2024-08-01,170.0186025758886,172.14470952451322,167.98150654179338,169.1582794189453,1159200,0.0592605346716159,0.0516951036221577,0.4454591629147406,0.6447249722397803,0.40779281196192746,long
UHS,2024-08-01,214.2450272312381,218.1094303246176,211.9343488297524,214.95217895507807,849600,0.168363021020506,0.2694497989865201,0.3621004752086909,0.5579187061641666,0.4025238869276286,long
NTAP,2024-08-01,124.5309163342209,126.19552601571976,119.54692415594354,120.6697998046875,1801000,-0.0529640648718663,0.2179525741482304,0.4172171046335713,0.5865597901336452,0.3980831557859889,long
TT,2024-08-01,336.3285316493213,340.4684925035611,326.4502577759637,330.927734375,1335800,0.0261676614633912,0.061056357659939,0.3299118626049793,0.6960595750497887,0.3922254264797362,long
AVGO,2024-08-01,155.72532826063198,157.11944434400135,144.52299013787294,145.36341857910156,40320000,-0.11299083264479,0.1866728924243752,0.2552115154619083,0.6261567747990293,0.3530616597785803,long
PGR,2024-08-01,212.25258512721683,213.16433270035284,208.21341831735745,211.0565185546875,2207800,0.020187645844615,0.0169122929137937,0.2088898739763027,0.700860310584879,0.34841230959406266,long
MCK,2024-08-01,618.208967371821,628.5323554121547,617.8406351667821,626.2626342773438,880900,0.0756800311486014,0.1857946459062487,0.2613215699820648,0.5611797712035782,0.34759531177216063,avoid
PHM,2024-08-01,131.9360281622609,132.52156879729947,127.06310526814264,128.3036651611328,2417700,0.2368924076864209,0.1581682765672856,0.2407558000125427,0.5392613274300158,0.3432541670578683,avoid
HIG,2024-08-01,110.09580074838226,110.14497561370791,107.24383863223784,107.8043975830078,1400500,0.0958711962957588,0.132691828265395,0.272573481394716,0.5558054705021391,0.34021971790192534,avoid
TYL,2024-08-01,566.6400146484375,572.22998046875,560.1500244140625,569.7100219726562,236100,0.1192731276476546,0.2424705547932391,0.3476286740926226,0.4304258906266487,0.3368803822018595,avoid
DHI,2024-08-01,179.8800753519451,181.6548900095956,175.7851266306228,177.5301971435547,2815400,0.3264478535580977,0.2587663750474149,0.2602004298794371,0.4140505318116185,0.3280784020537713,avoid
BRO,2024-08-01,99.4942885892582,100.3098152339334,99.11636419852756,100.2501449584961,1097000,0.124372492139867,0.2207788093399891,0.3038670014651152,0.4497601880232698,0.327657186730827,avoid
META,2024-08-01,519.2221093462982,525.37103744849,490.4207354671662,496.0414733886719,43083100,-0.0230815301420065,0.1344387366788333,0.2784200001950552,0.5455450408030378,0.3263236107012977,avoid
CTAS,2024-08-01,188.79191070398736,190.38481489823903,187.09478664316885,189.04249572753903,1816800,0.0817359165351867,0.1504143142492584,0.2627211695431271,0.5192654945511501,0.32477900318676856,avoid
CBRE,2024-08-01,112.9000015258789,113.52999877929688,110.7699966430664,112.38999938964844,2205900,0.2906522396232613,0.3027704157060649,0.3021666384980443,0.3539332188571864,0.32184258619582695,avoid
IP,2024-08-01,44.74113548510038,44.99189623001426,44.345708475760325,44.97260665893555,3782500,0.0719540328963064,0.3364094494187124,0.3331658578425969,0.3661942876240585,0.32090476557577563,avoid
