Price,Close,High,Low,Open,Volume
Ticker,CBOE,CBOE,CBOE,CBOE,CBOE
Date,,,,,
2023-01-19,120.55134582519531,122.08916415673986,119.92044561118095,121.1428138357183,696100
2023-01-20,120.56120300292969,121.8821479455659,120.22603304136952,121.4582611688691,687500
2023-01-23,121.28082275390625,121.30054261610837,119.83172123992556,120.08802680208665,470700
2023-01-24,119.84159088134766,122.72993421223975,119.4177040607415,122.20747063540705,625800
2023-01-25,120.6499252319336,121.1723887780899,119.08253459346467,120.36404739101478,1423800
2023-01-26,121.5765609741211,122.27646566643762,120.26546840695795,120.4133372903316,560900
2023-01-27,120.36404418945312,121.22167768939735,119.91058513275782,120.95551219727642,331600
2023-01-30,120.90623474121094,121.53713498969351,119.87116002555322,120.85694260392277,581900
2023-01-31,121.1329574584961,121.68500080264774,120.26547151900641,121.68500080264774,601900
2023-02-01,121.30054473876953,122.30603962188327,120.22603785766451,120.22603785766451,589300
2023-02-02,119.10224914550781,121.7441467192814,118.79665895719965,121.7441467192814,930500
2023-02-03,122.49334716796875,123.18339197501409,114.45921752716553,114.45921752716553,1357100
2023-02-06,124.4550552368164,127.45182777024381,121.70472083639879,122.6116390378551,954000
2023-02-07,125.57884216308594,125.57884216308594,123.67628148438581,123.87344251278108,660300
2023-02-08,125.07608795166016,126.26888394146975,124.43533530723549,124.43533530723549,393100
2023-02-09,123.85372161865234,126.53505141511775,123.66642052346678,126.29845818301257,490900
2023-02-10,124.40575408935547,125.17467079152927,123.28196259046356,123.28196259046356,294200
2023-02-13,126.75192260742188,126.88993156331783,124.64234854338467,124.71135302133266,725300
2023-02-14,124.75078582763672,126.70263108239217,124.6029169396282,125.30282165388286,385900
2023-02-15,126.71247863769531,126.93921944766767,123.39039635513909,123.39039635513909,457100
2023-02-16,124.92823028564453,126.43646891617355,124.92823028564453,125.71685184095986,373000
2023-02-17,127.25466918945312,128.12216267015856,124.16917243256238,124.16917243256238,625600
2023-02-21,126.63363647460938,128.02357847653676,126.60404915879539,127.1659524478382,952900
2023-02-22,126.44632720947266,129.6008282440814,126.34774294139062,127.34337786489054,1087100
2023-02-23,126.89978790283203,130.13315357694646,125.5492705753323,130.13315357694646,1547900
2023-02-24,127.84614562988281,127.94471486309986,126.29845975407494,127.55040784653465,662800
2023-02-27,126.25288391113281,128.6180219512509,125.53047422501506,128.291452878758,577500
2023-02-28,124.85755157470703,125.96590381949291,124.30337922733008,125.70860627962561,648200
2023-03-01,125.39193725585938,125.93621906988236,124.21431344917262,125.16433398820038,567700
2023-03-02,124.86744689941406,125.56016231828379,124.27368974752116,125.4414154179243,442100
2023-03-03,125.09506225585938,126.28257660281287,124.52109371648461,125.0752660717253,398000
2023-03-06,124.01640319824219,126.03518373351912,123.84817337447723,125.71851272112465,664700
2023-03-07,122.20542907714844,124.19452275075109,121.98771635515794,123.67003712960961,701200
2023-03-08,121.9481430053711,122.51221346227197,121.50281945516585,121.63147200412907,397000
2023-03-09,119.9095687866211,122.9377433192715,119.8303991471982,122.9377433192715,628100
2023-03-10,117.41578674316406,121.22573696638688,117.01994609204284,121.22573696638688,748000
2023-03-13,120.98823547363281,122.45283606626117,116.08972157726183,116.94077633380226,1204000
2023-03-14,123.31378173828125,123.38305328187342,120.84968534475186,123.37315518992254,1102700
2023-03-15,120.97833251953125,123.72941322894367,120.03821761812443,121.31479215160286,797400
2023-03-16,122.69034576416016,124.23411600672169,119.02882915932263,119.02882915932263,818400
2023-03-17,124.24401092529297,125.39194048529868,122.38356216764963,122.7002331721373,1658400
2023-03-20,124.34296417236328,125.23360369586845,123.30388346993524,125.23360369586845,732400
2023-03-21,127.0445785522461,127.0445785522461,123.44243538296004,124.88724735771272,879800
2023-03-22,125.73829650878906,128.20240051495824,125.51069323835986,127.44040596605169,645600
2023-03-23,125.85704803466797,126.68831410957155,124.35286270631522,125.64923340345008,700300
2023-03-24,127.93521118164062,128.15292392063068,125.52058996743455,125.58986906623372,596100
2023-03-27,130.092529296875,130.36961546406235,128.16280156816254,128.5487440938923,712000
2023-03-28,130.39930725097656,131.31962596341742,129.10293653987083,130.39930725097656,905200
2023-03-29,131.3097381591797,132.05193652987361,130.1716915974103,130.40920051205558,579500
2023-03-30,130.93368530273438,132.40819149229796,130.08263057252728,131.23056766909767,468800
2023-03-31,132.84361267089844,132.84361267089844,130.22116946923003,130.22116946923003,572700
2023-04-03,133.16026306152344,133.26911941168026,131.80451905507567,131.9628583098606,436300
2023-04-04,133.8332061767578,134.4071746881859,132.7842198696257,132.7842198696257,559700
2023-04-05,134.20924377441406,135.16915481244598,133.437358727346,133.59569799342754,493700
2023-04-06,134.6051025390625,135.77282074322252,133.3483090531777,133.3483090531777,538300
2023-04-10,131.8045196533203,134.03111447112906,131.39878097361571,133.26912001657257,875900
2023-04-11,132.5665283203125,132.6951657666457,131.56702487534395,131.81442432606858,630300
2023-04-12,133.12069702148438,133.9123782620946,132.67538104241103,133.35819082362283,554400
2023-04-13,133.76393127441406,134.1795605336226,132.65558658319125,133.51653182726156,680200
2023-04-14,135.33740234375,135.70356383202352,131.93319827756795,132.92279617007873,594500
2023-04-17,136.1191864013672,136.2181371256841,133.7342519743777,134.07071161717178,398900
2023-04-18,135.77281188964844,137.0889787441477,135.0108173738723,135.0899870079847,465700
2023-04-19,136.54470825195312,137.02961663851417,134.06082306379383,134.06082306379383,489600
2023-04-20,137.2770233154297,137.63327916711594,135.52543078630012,136.81191108961525,570500
2023-04-21,138.0587921142578,138.0587921142578,136.2775280449979,137.4551368152106,355100
