Date,Open,High,Low,Close,Volume
2022-12-01,116.16165482601473,116.53087223114478,113.7759418064938,113.82328033447266,3243600
2022-12-02,113.26470889247511,114.73211649307216,111.30501385705318,111.92984771728516,3889000
2022-12-05,112.42214090722018,112.94283581740224,106.0128986626036,106.45784759521484,4945600
2022-12-06,105.85193733081827,107.68856215268856,102.3680345476461,103.46622467041016,5049300
2022-12-07,103.39048970192714,104.91469767665568,102.11242904350452,103.19168090820312,5190200
2022-12-08,104.82003032047928,105.59633443831366,102.58578779152288,103.04967498779295,4547400
2022-12-09,102.57632936448668,104.23307674718946,100.84384322509172,101.1373291015625,5379700
2022-12-12,101.58227732410754,105.28392028808594,100.93851238826196,105.28392028808594,5812600
2022-12-13,106.78920828483376,107.73592109862538,104.4792267078716,105.19873046875,4260300
2022-12-14,105.6626084793604,106.67559081256506,103.84492176941568,105.02831268310548,4257800
2022-12-15,104.2993329313074,105.06617510415124,102.311237772481,104.9620361328125,4255900
2022-12-16,102.68993458771072,104.33721277340642,101.9609617151984,103.90172576904295,14691100
2022-12-19,104.73482653451512,106.41051210844584,104.39400937449004,105.15138244628906,3408900
2022-12-20,105.38805226715613,108.26605959967586,105.15137410385198,106.98799896240234,3520700
2022-12-21,108.49326940965288,109.02343341087612,106.78919095507332,108.44593811035156,3226000
2022-12-22,108.4932772605236,108.61635453787088,103.78811384339971,105.70047760009766,2699600
2022-12-23,106.65666035013132,109.24118207571844,106.1075652295348,108.9855728149414,2388000
2022-12-27,109.57252687372308,110.8695258847618,109.08970859277316,110.59497833251952,2420000
2022-12-28,110.52870634724738,110.75591537001868,107.88737708043048,108.41753387451172,2650600
2022-12-29,108.41752825905316,110.20682179209052,108.16191902453023,109.98907470703124,2054100
2022-12-30,109.50626239079524,110.53818304730116,109.24118397564732,110.18789672851562,2370800
2023-01-03,109.48732305794512,109.48732305794512,104.44134273216416,105.00936889648438,4363900
2023-01-04,103.26741579102472,106.16435413809448,103.19167704686552,104.68748474121094,3664600
2023-01-05,104.68749269776288,109.610395876759,104.37507577149472,109.56306457519533,4093600
2023-01-06,110.62337855812308,112.9901603296826,109.87547465156892,110.59497833251952,3102800
2023-01-09,113.02802558856982,113.52978215021255,108.7678185549088,109.59146118164062,3716700
2023-01-10,109.56306472833944,110.66124771227122,107.9631179426492,110.29203033447266,2752200
2023-01-11,112.0055773212422,112.44106429687236,110.92632542014908,111.33341217041016,2976900
2023-01-12,112.13812457275388,115.33801835384838,112.13812457275388,114.56171417236328,3091300
2023-01-13,114.66585083615593,116.34152922496008,113.83273899385524,115.43268585205078,2780500
2023-01-17,116.28470922228765,118.62309047643122,114.82677096620534,115.28118896484376,3746900
2023-01-18,116.28473349589004,119.14380293790217,114.5617165104606,114.8457260131836,3709300
2023-01-19,114.0504848195079,117.07050076813624,113.81380663476511,116.66341400146484,2475500
2023-01-20,116.69180906741286,119.42780818421532,116.00070562047542,119.02072143554688,2882000
2023-01-23,119.51301615784722,121.95554402185124,119.36154587294055,120.11891174316406,3963400
2023-01-24,117.58170917010962,123.7732180396267,117.58170917010962,123.2714614868164,3782200
2023-01-25,122.56142809418276,123.87735812207072,121.45376156277716,122.89276885986328,3671600
2023-01-26,123.74482677138154,128.20383562124871,122.77917574606982,128.1375732421875,4005300
2023-01-27,127.95767087660496,129.18840007258262,125.34473501068898,125.77076721191406,3400600
2023-01-30,125.15540696838984,126.38613627821424,122.13539136324074,122.25846862792967,4152300
2023-01-31,124.54005465349756,125.9127851361448,119.957961573867,121.67151641845705,5408700
2023-02-01,121.98394238202224,122.22062056712846,115.37588427580476,116.41726684570312,5189900
2023-02-02,116.21845558677774,116.28472518829656,111.79730169284038,113.51085662841795,6275700
2023-02-03,114.14514750317684,115.38533880228076,111.74996557917709,111.90143585205078,3255100
2023-02-06,112.22332840992308,113.0469710891296,108.03885985708172,110.2068328857422,4190100
2023-02-07,110.55710909093412,116.10484614799628,110.55710909093412,115.7166976928711,5361900
2023-02-08,115.59361553998504,116.18057999549508,113.20790279009988,115.08238983154295,3005500
2023-02-09,115.02560267257556,115.79243771241558,113.3688553089788,114.30609893798828,2788400
2023-02-10,116.04804697960098,120.30825422064792,116.04804697960098,120.03370666503906,3467600
2023-02-13,119.39939684503015,121.04667476226248,118.47161531017647,120.99933624267578,3499800
2023-02-14,120.10946241726376,122.45731347382352,119.80651459282178,121.78514099121094,3174500
2023-02-15,120.40435042548728,121.33756575857598,119.29019521018311,121.04236602783205,3048800
2023-02-16,120.55670863582183,122.4802801182755,120.16628388974296,120.47100830078124,2595100
2023-02-17,118.76644873697006,119.03308167749522,115.74777152927744,116.65242004394533,3275900
2023-02-21,115.86203377658568,118.75691907334226,115.86203377658568,117.19520568847656,3988000
2023-02-22,116.80478501618371,118.95689788612871,116.1667621815337,116.91905212402344,3142800
2023-02-23,118.89976077800983,120.43290739411982,117.0142736377868,119.52825164794922,2893600
2023-02-24,117.66181346373136,119.4711176846444,115.73824213878753,118.95689392089844,3218600
2023-02-27,119.5092187109542,121.48993101172472,119.35685287310892,120.53766632080078,3057500
2023-02-28,121.62322247184994,121.68988069589628,117.64275659187948,117.69989013671876,5774400
2023-03-01,117.7665590991034,123.76582887111245,117.18567712293226,123.02306365966795,4295300
2023-03-02,122.56598070639696,124.17529564396196,121.7755920947197,123.44206237792967,3054000
2023-03-03,123.33731784042205,127.73677574185226,122.6326367895935,127.12732696533205,3651800
2023-03-06,125.898921856887,126.87975333137616,124.40385930950852,125.6227569580078,3271300
2023-03-07,125.27992559871784,126.3464572767052,123.1278128826636,123.99437713623048,3592500
2023-03-08,123.79440384191646,125.4703843860611,119.63300472806525,121.76608276367188,3516700
2023-03-09,122.7945227925808,126.12744904264142,122.12794044864974,122.25173950195312,3370600
2023-03-10,122.8992697211174,125.71797939402532,121.91843832344316,122.4136199951172,3746700
2023-03-13,119.00451223953922,120.38529305004462,116.0524933329812,117.8713150024414,4107500
2023-03-14,118.75692944680944,124.49909167035108,118.35698001786714,121.68038177490234,4528100
2023-03-15,117.4904164695418,118.55695555263704,113.88133237246043,116.83335876464844,6669100
2023-03-16,114.52885218386292,119.96628906051106,113.7575202370201,119.18543243408205,6170000
2023-03-17,119.223530721372,119.7282370863032,117.02380171493162,117.75704956054688,13118700
2023-03-20,117.73800025272948,121.22329234446094,117.56659232583772,120.2234115600586,4830700
2023-03-21,122.4040970566731,123.83249409397726,120.66145819271632,122.16603088378906,4607900
2023-03-22,122.13745412065909,124.5085982396876,120.8519056104234,120.91856384277344,3226000
2023-03-23,121.2518616835703,124.27053893159326,119.01404117117605,120.12818908691406,3236300
2023-03-24,117.43326823630936,119.51873000063198,114.82406530978302,118.74739074707033,3856100
2023-03-27,120.27102042261627,123.72773099787966,119.88058845406997,122.75643157958984,4107400
2023-03-28,120.98522657542244,126.3750479766786,120.93761043688588,125.28946685791016,3913200
2023-03-29,127.61296860036822,128.6795147894608,126.65118662461548,127.67963409423828,4418800
2023-03-30,128.57477321809966,128.8128393733907,126.65119461483464,127.54632568359376,2936000
2023-03-31,127.78441099558732,128.46051084094407,126.51789711592193,128.39385986328125,3143300
2023-04-03,130.67927369600864,132.20290294636388,126.58453279978367,129.16517639160156,4745700
2023-04-04,127.87009214817972,128.05102475103837,118.93785261848176,119.81393432617188,5256800
2023-04-05,119.50921859734817,127.03210383633356,119.09021980887496,126.37505340576172,6391300
2023-04-06,126.60358100338978,126.69881327956804,122.2517391536625,122.53740692138672,3280100
2023-04-10,122.58500367017167,125.6703458472314,122.58500367017167,124.9751968383789,2765700
2023-04-11,125.6894251459108,126.9749737947796,124.83237818292515,125.87987518310548,2582900
2023-04-12,125.40372104358568,125.78462105181664,123.79439162756276,124.00389099121094,2411700
2023-04-13,123.28017310921902,124.84188636558962,121.60417822796026,124.25147247314452,2495400
2023-04-14,124.24197069199084,125.4894350650927,123.26113925983871,124.53717041015624,2402600
2023-04-17,123.994379516786,124.4228956791755,121.52801043368436,123.12781524658205,2875200
2023-04-18,122.0326972399273,123.48014343594082,121.2804146328279,122.89926147460938,2960600
2023-04-19,121.83274070224674,122.27077430082704,118.75692270988036,120.35672760009766,3835500
2023-04-20,119.09021601457486,120.30911361653138,118.47124979794584,119.69014739990234,3061000
2023-04-21,119.63300162494625,120.0424757022564,116.79525712515228,117.63324737548828,3256300
2023-04-24,117.42375692519528,121.54706478799706,117.14759929250388,120.47100830078124,4208000
2023-04-25,119.20448889474612,119.74727945335002,116.66194402892802,117.27139282226562,2884900
2023-04-26,117.5094573445172,117.90940674733874,115.52874516120671,116.68098449707033,3425100
2023-04-27,116.68099652776404,117.19522035521324,114.82408320520028,115.63350677490234,4610800
2023-04-28,114.73836316534825,117.29043266281953,114.03368937382932,116.17628479003906,5342200
2023-05-01,115.6430197448174,117.07141669911525,115.05261305490136,116.61432647705078,4173200
2023-05-02,116.17628042984988,116.58575449574352,109.09142952795168,111.38639068603516,5342400
2023-05-03,109.86277072228854,111.1959353647469,104.65388214073263,104.81576538085938,6634900
2023-05-04,104.31106275198132,105.20619378021784,99.45451485694068,100.04491424560548,7334100
2023-05-05,102.77792001239284,103.2826190950503,101.58758924567154,101.79708862304688,4350500
2023-05-08,103.33975069059316,104.54913079519976,102.56841869322514,103.52068328857422,4440900
2023-05-09,102.73031401745934,106.54889752833894,102.54938866339393,105.64424896240234,5638000
2023-05-10,106.2060760572556,107.57733948851651,104.07300525934076,106.3870086669922,5078400
2023-05-11,104.358680453215,106.3393926868378,103.7873231110707,104.8443374633789,3579400
