Date,Open,High,Low,Close,Volume
2022-12-01,227.5605699769413,228.43208363579475,224.9834931630476,226.91395568847656,268900
2022-12-02,225.08657969039177,230.11890335747157,225.08657969039177,229.556640625,248300
2022-12-05,227.42937951180167,227.5980540437469,224.2056883300564,224.608642578125,318700
2022-12-06,222.8468524895492,224.4118391625383,220.34474702080863,222.1908721923828,298300
2022-12-07,221.60987481920168,223.70902631574663,221.2162865947182,221.37559509277344,243000
2022-12-08,222.3595822916424,223.08116788363512,218.0488294217044,219.43577575683597,294800
2022-12-09,219.67941019296092,221.9003774038246,219.09840105240076,219.1358795166016,255900
2022-12-12,219.4826320368594,221.5349104928992,218.5267667194476,220.8601837158203,291400
2022-12-13,225.88312891425025,225.88312891425025,219.9043201735608,221.3568572998047,316200
2022-12-14,221.1132225220156,221.72235844424597,215.64981710202517,218.3487243652344,445500
2022-12-15,216.24955766704772,216.70875108737008,213.96299950482435,215.8466033935547,301900
2022-12-16,213.61626049986137,215.49049838851872,210.561257889098,211.5264892578125,884400
2022-12-19,211.83571973018576,212.96962553550955,209.211784080072,210.0364532470703,315100
2022-12-20,209.42732197947527,211.3203061089558,209.0524801495561,210.54249572753903,214100
2022-12-21,212.3230286176881,214.8438663591935,211.57333066402407,214.82513427734372,212400
2022-12-22,213.04461082399644,213.04461082399644,206.36296267981533,211.1047821044922,339200
2022-12-23,211.15163808204403,213.53191380390928,210.3363349129318,213.41946411132807,125000
2022-12-27,213.3351137057153,216.09962592400436,213.3351137057153,215.25621032714844,156000
2022-12-28,216.2776522058926,216.80245077113452,211.9856604740152,212.21994018554688,171100
2022-12-29,213.5319261083412,216.4463666365061,212.7072568504269,215.73416137695312,163800
2022-12-30,214.7689145184806,215.2374739943994,212.5198347537905,214.122314453125,180000
2023-01-03,215.7059976845709,217.0179725790664,212.9321340549253,214.9563140869141,310700
2023-01-04,216.46511686556784,217.7958240922004,215.15314172291133,217.71148681640625,189900
2023-01-05,216.8774430103352,217.5896626009159,214.79705198853165,215.584228515625,256100
2023-01-06,218.04881688238208,223.3435472006809,217.9644796139512,222.4813995361328,260400
2023-01-09,222.56573196425688,229.99707775102087,222.0784261473103,225.2833709716797,365300
2023-01-10,225.28339119814424,229.4535819898496,225.2552787734213,229.0506134033203,257000
2023-01-11,229.87527686058328,232.10561019503604,229.87527686058328,231.40277099609372,348300
2023-01-12,232.4054726828404,233.0895654333048,230.1001540411498,232.63038635253903,269000
2023-01-13,231.55270513234677,234.06419121524468,230.65307899765168,233.16455078125,236500
2023-01-17,232.85530110978692,234.87011533164872,229.52852614290333,229.9502410888672,256400
2023-01-18,230.6624587363929,232.86469399773435,225.6769933373801,225.7425842285156,312800
2023-01-19,225.29276804987077,225.58327263370845,219.7450256347656,219.7450256347656,415000
2023-01-20,220.9070320047873,223.56846052068488,218.75165569725525,223.41851806640625,298500
2023-01-23,224.42122482225463,225.27400643277244,222.53762102587183,223.8121032714844,181600
2023-01-24,222.1252819532558,227.270069635719,222.1252819532558,225.80816650390625,194100
2023-01-25,224.2150654388968,226.17365482983735,223.1280183698917,225.4895477294922,254800
2023-01-26,226.7921453916091,228.03851527502783,224.7585990447574,227.5980682373047,175400
2023-01-27,226.96080621853184,230.8404775086222,226.7640049773157,229.0786895751953,240500
2023-01-30,228.2727865262224,230.9154686543949,227.12950033876749,227.2606964111328,260500
2023-01-31,228.1134851864504,233.3332444206927,226.8015244216444,233.08958435058597,363700
2023-02-01,231.93693805700644,236.1352269117696,230.9248478841144,234.62646484375,443800
2023-02-02,238.59047953182403,243.2292009640623,236.01340253660297,241.74856567382807,751800
2023-02-03,240.38973872722096,243.44475560454129,239.2370864418548,243.33230590820312,282700
2023-02-06,242.5170025846976,242.5170025846976,239.0496512946641,241.233154296875,269100
2023-02-07,239.6400610128243,239.6400610128243,235.49799693560547,238.34683227539065,335200
2023-02-08,236.9880149580981,238.39369340839312,234.8701312407352,235.4042816162109,226100
2023-02-09,237.0348475277314,238.29058337249245,233.54876421294767,233.58624267578125,268100
2023-02-10,233.21139261635884,236.33200003631637,232.4054698505503,235.5260772705078,213300
2023-02-13,236.26642670226036,239.10589599609372,235.26371685458903,239.10589599609372,310600
2023-02-14,238.1781134777113,238.95592378403495,235.47920680509884,236.3413543701172,229000
2023-02-15,235.5167265456201,238.74978385965304,234.84199980016808,237.8501434326172,203800
2023-02-16,234.9825538758564,237.51277193509853,234.65455655551247,236.57565307617188,240600
2023-02-17,236.6506310397625,238.17813939908652,235.404261205982,236.41635131835935,1114100
2023-02-21,234.6920320542187,236.02273902009577,230.5312223387536,230.54058837890625,272100
2023-02-22,231.09716624487288,232.8045926225203,230.02176975102347,230.40853881835935,237400
2023-02-23,231.40848567438292,232.37068715993476,229.13505489916457,232.2574920654297,205200
2023-02-24,230.5972320384508,233.21969074812247,229.17280758348403,232.7857666015625,194000
2023-02-27,235.2667034164673,235.6629150321529,232.56877666493023,232.86122131347656,181500
2023-02-28,233.02157572493357,235.6062928767508,233.02157572493357,234.5874938964844,398000
2023-03-01,234.04037039266063,235.74779678766984,232.6442304857518,233.27626037597656,264500
2023-03-02,232.2197440776614,235.361037406408,231.71977989922675,234.81390380859372,206500
2023-03-03,235.45535185514825,236.47413635896825,233.4837797243628,235.9270172119141,210400
2023-03-06,235.79501036150037,236.5968330317522,233.78571083388533,234.2196350097656,240500
2023-03-07,234.49314979709652,235.7100400805232,232.95551613252232,233.002685546875,203900
2023-03-08,233.6630618478314,234.3045343469438,231.17266883910415,233.0782012939453,288500
2023-03-09,234.04979856318263,235.21009138312505,232.60650363264605,232.9366607666016,268600
2023-03-10,232.8517661849789,232.8517661849789,226.1069568683834,226.55032348632807,369200
2023-03-13,223.13545483068444,226.35221622290555,222.0695008446056,224.09765625,301400
2023-03-14,227.63515256675063,229.851985699728,224.29576787516345,227.11631774902344,365900
2023-03-15,223.20150042382755,224.1354030946024,219.0131093826588,222.96566772460935,339500
2023-03-16,220.90921935414377,225.27684595017007,220.32435881257356,223.8052520751953,324200
