Date,Open,High,Low,Close,Volume,ret_1m,ret_3m,ret_6m,ret_12m
2024-01-02,149.62354849584332,154.114263788388,149.4900672848314,152.5220184326172,9622100,0.034333382761329245,0.039323569800807645,-0.005682294077892336,-0.0717261055687799
2024-01-03,153.1608264582662,153.92358249064864,152.35993917102724,153.4754638671875,8232000,0.016353129624188112,0.04454139655697564,0.00385196055760062,-0.061111404113473156
2024-01-04,154.0665864555467,154.4384280054236,152.95106180591603,153.1512908935547,6766600,0.011014674884317177,0.04112868467935793,0.00923217726745662,-0.07119183649371441
2024-01-05,153.02734848789032,153.82823579210802,152.04530498545066,153.62802124023438,5602500,0.016272610128198917,0.03360283080134918,0.02731303603852253,-0.07833501420602129
2024-01-08,153.59941134719566,154.13333618951128,152.1787784608938,154.00938415527344,6569800,0.031349759394683874,0.03288213888070213,0.028184734982504844,-0.06917412984876281
2024-01-09,154.104736328125,155.67790880030984,153.12269286152411,154.104736328125,6357000,0.040090206853113264,0.027654584844421848,0.034528543342474904,-0.07609051038105175
2024-01-10,154.2858814427875,155.04862286038218,153.69473793128367,154.3335418701172,4945100,0.048245021293636725,0.03035021445079389,0.03966940364784621,-0.05010840109673642
2024-01-11,154.52425837932415,154.64819587140462,153.29431079680649,153.64707946777344,4946000,0.03927522287917218,0.04008527335483447,0.030287189542724358,-0.052065971380519716
2024-01-12,154.30495003246517,154.90562275961742,154.16193964426745,154.829345703125,4496500,0.04720435266637346,0.04708278116787823,0.03133105476660858,-0.0432424522210354
2024-01-16,154.04751825501066,154.69585135761108,152.72222087787912,153.04640197753906,6923200,0.030361407514061245,0.03159355535902009,0.02458187712493709,-0.049477082274701156
2024-01-17,152.78895884891867,153.79007506150066,152.42664652191445,152.9605712890625,5072100,0.022693677941224344,0.026564405077633246,0.0240718209298596,-0.046887736129898494
2024-01-18,152.55061424645143,153.8568242254614,152.25504975908655,153.70428466796875,5368500,0.03899183229358494,0.04107244528774334,0.031125394701270848,-0.03630800904648379
2024-01-19,153.64708198664744,154.38123596779417,152.81759259067292,154.15240478515625,7055800,0.040144026930713395,0.06707764561536789,-0.02507402272725956,-0.01869576556786523
2024-01-22,154.4574905561179,155.96392955549308,153.82821580669037,154.90560913085938,6824200,0.0384123499531166,0.0751776465776226,-0.03072968428019418,-0.01256320240224329
2024-01-23,152.2264506752471,153.03686710034634,149.6044869413437,152.3694610595703,9149800,0.04266978245354647,0.0528745034379241,-0.051558618727169714,-0.024182490080276398
2024-01-24,152.31226381922983,153.12269482947474,150.79629548315216,151.55905151367188,7247900,0.026608098676018654,0.05841197082992511,-0.06377190458151227,-0.026892922867596147
2024-01-25,151.59714826272045,152.18827714135213,151.0918255990467,152.13107299804688,5478900,0.02637309490330164,0.06353056884664188,-0.06203388924805875,-0.023220175188339964
2024-01-26,152.96057645739478,153.2561554726721,151.94040186034346,152.07388305664062,5591900,0.02151918260540686,0.060745962113425644,-0.06762281432451467,-0.03049949007008279
2024-01-29,151.60671936146002,152.61737951664668,151.55905892776454,151.9404296875,6483200,0.019251672221546112,0.07809524634429943,-0.07265872956743302,-0.027794204843607062
